#{"t_start": 1738749049.8012466, "env_id": "None"}
r,l,t
1317.455178,7,112.864154
1307.536566,7,112.975004
1301.266934,7,113.077275
1292.670098,7,113.177402
1314.522495,7,113.277484
1311.615643,7,113.372265
1278.156753,7,113.473581
1294.076059,7,113.57339
1312.186533,7,113.674468
1296.713791,7,113.776739
1301.844697,7,113.890309
1307.522117,7,113.998873
1277.429622,7,114.102144
1286.077465,7,114.210898
1331.428687,7,114.323427
1297.945631,7,114.426805
1330.268118,7,114.556565
1278.663871,7,114.691094
1365.518816,7,114.808017
1325.060193,7,114.947963
1334.721116,7,115.07003
1306.120782,7,115.229153
1296.609593,7,115.353203
1287.806305,7,115.479784
1311.804099,7,115.61873
1330.230154,7,115.724265
1296.873796,7,115.926844
1301.70029,7,116.098083
1300.148294,7,116.214018
1287.583483,7,116.910515
1281.97754,7,117.05768
1296.309304,7,117.186524
1298.555778,7,117.288666
1292.180351,7,117.447808
1295.989502,7,117.541327
1335.420537,7,117.648851
1374.460188,7,117.777376
1295.602201,7,117.887983
1303.887403,7,118.047598
1305.315546,7,118.202085
1311.869161,7,118.319718
1299.003719,7,118.448783
1286.708556,7,118.579949
1291.154313,7,118.695314
1320.877657,7,118.805834
1293.182175,7,118.957373
1299.110376,7,119.11469
1303.413221,7,119.298791
1290.717212,7,119.418216
1298.326708,7,119.530636
1315.978937,7,119.649669
1293.02388,7,119.762199
1286.197638,7,119.873973
1325.100283,7,119.984691
1315.352016,7,120.097771
1307.237841,7,120.214759
1315.119135,7,120.329292
1333.659415,7,120.43146
1328.117281,7,120.53756
1302.783917,7,120.645835
1295.5479,7,120.750022
1295.034619,7,120.861371
1337.273217,7,120.976115
1371.016025,7,121.087301
1308.022897,7,121.199157
1319.242845,7,121.309195
1272.501708,7,121.417281
1310.511051,7,121.531811
1359.051613,7,121.658571
1286.508142,7,121.776778
1315.475316,7,121.895444
1339.649121,7,122.000964
1312.673846,7,122.116012
1312.211636,7,122.303774
1315.056613,7,122.438316
1278.879999,7,122.571381
1315.114664,7,122.691853
1344.078991,7,122.934548
1274.974369,7,123.051913
1317.634454,7,123.166599
